"Date ","Open","High","Low","Close","Prev. Close","Change","% Change"
"12-Oct-2017","       11.7300","       11.7300","       10.4600","       11.0425","       11.7300","       -0.6900","  -5.86"
"13-Oct-2017","       11.0425","       11.3450","       10.0850","       11.2625","       11.0425","        0.2200","   1.99"
"16-Oct-2017","       11.2625","       11.5825","       10.0325","       11.3100","       11.2625","        0.0500","   0.42"
"17-Oct-2017","       11.3100","       11.7325","       10.1050","       11.6100","       11.3100","        0.3000","   2.65"
"18-Oct-2017","       11.6100","       11.7500","       10.1325","       11.5400","       11.6100","       -0.0700","  -0.60"
"19-Oct-2017","       11.5400","       12.8125","       10.8250","       12.3950","       11.5400","        0.8600","   7.41"
"23-Oct-2017","       12.3950","       12.9375","       10.8750","       12.3250","       12.3950","       -0.0700","  -0.56"
"24-Oct-2017","       12.3250","       12.4700","       11.3600","       11.5900","       12.3250","       -0.7400","  -5.96"
"25-Oct-2017","       11.5900","       12.4925","       11.1900","       11.7600","       11.5900","        0.1700","   1.47"
"26-Oct-2017","       11.7600","       12.6475","       11.2875","       11.6175","       11.7600","       -0.1400","  -1.21"
"27-Oct-2017","       11.6175","       12.1525","       11.1900","       11.4750","       11.6175","       -0.1400","  -1.23"
"30-Oct-2017","       11.4750","       12.2600","       11.4750","       12.1125","       11.4750","        0.6400","   5.56"
"31-Oct-2017","       12.1125","       12.5250","       11.5250","       12.4400","       12.1125","        0.3300","   2.70"
"01-Nov-2017","       12.4400","       12.4400","       11.7900","       12.1375","       12.4400","       -0.3000","  -2.43"
"02-Nov-2017","       12.1375","       12.3700","       11.4100","       12.0050","       12.1375","       -0.1300","  -1.09"
"03-Nov-2017","       12.0050","       12.3025","       11.0725","       11.9100","       12.0050","       -0.1000","  -0.79"
"06-Nov-2017","       11.9100","       13.2600","       11.3725","       13.0225","       11.9100","        1.1100","   9.34"
"07-Nov-2017","       13.0225","       13.6800","       11.6775","       13.2375","       13.0225","        0.2200","   1.65"
"08-Nov-2017","       13.2375","       13.8550","       11.2350","       13.6100","       13.2375","        0.3700","   2.81"
"09-Nov-2017","       13.6100","       13.7150","       11.0800","       13.2675","       13.6100","       -0.3400","  -2.52"
"10-Nov-2017","       13.2675","       13.8175","       11.1675","       13.4750","       13.2675","        0.2100","   1.56"
"13-Nov-2017","       13.4750","       14.3825","       11.1650","       14.0450","       13.4750","        0.5700","   4.23"
"14-Nov-2017","       14.0450","       14.7400","       12.4575","       14.1650","       14.0450","        0.1200","   0.85"
"15-Nov-2017","       14.1650","       14.5775","       11.5800","       14.2650","       14.1650","        0.1000","   0.71"
"16-Nov-2017","       14.2650","       14.2650","       11.0675","       13.4625","       14.2650","       -0.8000","  -5.63"
"17-Nov-2017","       13.4625","       13.8600","       11.6325","       13.7125","       13.4625","        0.2500","   1.86"
"20-Nov-2017","       13.7125","       15.6050","       11.1200","       13.4325","       13.7125","       -0.2800","  -2.04"
"21-Nov-2017","       13.4325","       13.9250","       11.0100","       13.7150","       13.4325","        0.2800","   2.10"
"22-Nov-2017","       13.7150","       14.3350","       12.1850","       14.0375","       13.7150","        0.3200","   2.35"
"23-Nov-2017","       14.0375","       14.4625","       12.8225","       13.8650","       14.0375","       -0.1700","  -1.23"
"24-Nov-2017","       13.8650","       13.9925","       12.4900","       13.5125","       13.8650","       -0.3500","  -2.54"
"27-Nov-2017","       13.5125","       13.9025","       11.5275","       13.0300","       13.5125","       -0.4800","  -3.57"
"28-Nov-2017","       13.0300","       13.3625","       12.0375","       13.1475","       13.0300","        0.1200","   0.90"
"29-Nov-2017","       13.1475","       13.2850","       12.2550","       13.0600","       13.1475","       -0.0900","  -0.67"
"30-Nov-2017","       13.0600","       13.9075","       11.9650","       13.5500","       13.0600","        0.4900","   3.75"
"01-Dec-2017","       13.5500","       15.0225","       12.6200","       14.7950","       13.5500","        1.2500","   9.19"
"04-Dec-2017","       14.7950","       15.2550","       14.1350","       14.8550","       14.7950","        0.0600","   0.41"
"05-Dec-2017","       14.8550","       15.3375","       13.5475","       15.0075","       14.8550","        0.1500","   1.03"
"06-Dec-2017","       15.0075","       15.2575","       13.5525","       15.0875","       15.0075","        0.0800","   0.53"
"07-Dec-2017","       15.0875","       15.0875","       13.9200","       14.2725","       15.0875","       -0.8200","  -5.40"
"08-Dec-2017","       14.2725","       14.2725","       12.9050","       13.6725","       14.2725","       -0.6000","  -4.20"
"11-Dec-2017","       13.6725","       14.4850","       12.1600","       14.1475","       13.6725","        0.4800","   3.47"
"12-Dec-2017","       14.1475","       15.3725","       12.1575","       15.2625","       14.1475","        1.1200","   7.88"
"13-Dec-2017","       15.2625","       16.3125","       12.7025","       15.9450","       15.2625","        0.6800","   4.47"
"14-Dec-2017","       15.9450","       17.3850","       12.7950","       16.4075","       15.9450","        0.4600","   2.90"
"15-Dec-2017","       16.4075","       16.4075","       13.3975","       14.9400","       16.4075","       -1.4700","  -8.94"
"18-Dec-2017","       14.9400","       18.2575","       12.8150","       13.1150","       14.9400","       -1.8300"," -12.22"
"19-Dec-2017","       13.1150","       13.1150","       12.0750","       12.1875","       13.1150","       -0.9300","  -7.07"
"20-Dec-2017","       12.1875","       12.4150","       11.2025","       12.1850","       12.1875","        0.0000","  -0.02"
"21-Dec-2017","       12.1850","       12.2425","       10.1600","       12.0850","       12.1850","       -0.1000","  -0.82"
"22-Dec-2017","       12.0850","       12.1325","       10.7325","       11.5875","       12.0850","       -0.5000","  -4.12"
"26-Dec-2017","       11.5875","       12.2575","       10.3175","       12.0525","       11.5875","        0.4700","   4.01"
"27-Dec-2017","       12.0525","       12.7350","       11.5100","       12.4925","       12.0525","        0.4400","   3.65"
"28-Dec-2017","       12.4925","       12.6925","       11.3275","       12.2975","       12.4925","       -0.2000","  -1.56"
"29-Dec-2017","       12.2975","       12.7600","       11.4800","       12.6700","       12.2975","        0.3700","   3.03"
"01-Jan-2018","       12.6700","       13.6125","       12.5450","       13.3525","       12.6700","        0.6800","   5.39"
"02-Jan-2018","       13.3525","       13.8425","       12.6050","       13.6850","       13.3525","        0.3300","   2.49"
"03-Jan-2018","       13.6850","       13.7150","       12.7650","       13.6225","       13.6850","       -0.0600","  -0.46"
"04-Jan-2018","       13.6225","       13.7925","       12.1825","       13.4150","       13.6225","       -0.2100","  -1.52"
"05-Jan-2018","       13.4150","       13.4150","       12.4200","       13.1125","       13.4150","       -0.3000","  -2.25"
"08-Jan-2018","       13.1125","       13.8550","       11.8125","       13.7350","       13.1125","        0.6200","   4.75"
"09-Jan-2018","       13.7350","       14.1300","       12.2500","       13.8475","       13.7350","        0.1100","   0.82"
